Text,Hindi text,Primary Intent,Secondary Intent,Intiated by,Response,List
Hello a very good morning Santosh. I am Amit am talking from Motilal Oswal,"नमस्कार, सुप्रभात संतोष जी। मैं हूँ अमित बात कर रहा हूँ मोतीलाल ओसवाल से",Greeting and Etiquette,"Time of the day greeting
",Advisor,"Good Morning, Amit","Days,"
Good Morning Mika sir.,गुड मॉर्निंग मीका सर।,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning.,
"Hello good morning Sylvester Sir, I am speaking from Motilal Oswal.","नमस्ते सुप्रभात सिल्वेस्टर सर, मैं मोतीलाल ओसवाल से बोल रहा हूं।",Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning,
Morning Hrithik sir Madhu Srikanth speaking from Motilal Oswal.,सुबह ऋतिक सर मधु श्रीकांत मोतीलाल ओसवाल से बोल रहे हैं।,Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning Madhu,
Hello very good morning sir this is Badal speaking from motilal oswal your financial advisor.,"नमस्कार सुप्रभात सर, यह बादल आपके वित्तीय सलाहकार मोतीलाल ओसवाल की ओर से बोल रहे हैं।",Greeting and Etiquette,Time of the day greeting,Advisor,Good Morning to you as well.,
"Ok Mam, Thank you.","ओके मैम, थैंक्यू।",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Yes, OK  Thank you","हाँ, ठीक है धन्यवाद",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Done Sir. OK, thank you OK?","किया सर। ठीक है, धन्यवाद ठीक है?",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"Ok ma'am, thank you.","ठीक है महोदया, धन्यवाद।",Greeting and Etiquette,Closing the call greeting,Advisor,Sure thanks,
"OK, thank you have a nice day sir.","ठीक है, धन्यवाद आपका दिन शुभ हो सर।",Greeting and Etiquette,Closing the call greeting,Advisor,Nice day to you as well,
"Hello Sir, Happy Diwali !","नमस्कार सर, दीपावली की हार्दिक शुभकामनाएं!",Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali Madhu Sir.,हैप्पी दिवाली मधु सर।,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
Happy Diwali to you and your family Sir,आपको और आपके परिवार को दीपावली की हार्दिक शुभकामनाएं सर,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
"Okay Sir, Happy Diwali to you as well.","ओके सर, आपको भी दीपावली की शुभकामनाएं।",Greeting and Etiquette,Festival Greeting,Advisor,Thank you! Thank you!,
Happy Diwali,हैप्पी दिवाली ,Greeting and Etiquette,Festival Greeting,Advisor,Happy Diwali,
And I'm selling my call of 3050.,और मैं अपना 3050 का कॉल बेच रहा हूं।,Trade generation,Sell,Customer,Okay sir,
"I'm selling two change-tax dollars, well, 2323830's the rate is okay.","मैं दो परिवर्तन-कर डॉलर बेच रहा हूँ, ठीक है, 2323830 की दर ठीक है।",Trade generation,Sell,Advisor,"Yes, its fine.",
And November call is selling at 29.90.,वहीं नवंबर कॉल 29.90 पर बिक रही है।,Trade generation,Sell,Advisor,Okay fine.,
I'm selling 575 shares at 3926.,मैं 575 शेयर 3926 पर बेच रहा हूं।,Trade generation,Sell,Customer,Okay Sir,
"we can sell normal pay tomorrow, sir.","हम कल सामान्य वेतन बेच सकते हैं, महोदय।",Trade generation,Sell,Advisor,"Okay, thank you for the advise.",
You can sell the share whenever you think the share's price is falling.,जब भी आपको लगे कि शेयर की कीमत गिर रही है तो आप शेयर बेच सकते हैं।,Trade generation,Sell,Advisor,Okay.,
"Sir, I would recommend that you buy ","सर, मैं अनुशंसा करता हूं कि आप खरीद लें",Trade generation,Buy,Advisor,Okay,
I want to Buy ,मैं खरीदना चाहते हैं,Trade generation,Buy,Customer,Okay Sir,
Buy Tata Steel 27 shares.,टाटा स्टील के 27 शेयर खरीदें।,Trade generation,Buy,Customer,Okay Sir,
Sir I would suggest that you buy BEL shares now as they are expected to rise.,"महोदय, मेरा सुझाव है कि आप बीईएल के शेयर अभी खरीदें क्योंकि उनके बढ़ने की उम्मीद है।",Trade generation,Buy,Advisor,Okay buy it.,
I suggest we remove it,मेरा सुझाव है कि हम इसे हटा दें,Trade generation,Sell,Advisor,,
"Bought and removed. Good winter will take a new one. Yes, how? One is payment.",खरीदा और हटा दिया। अच्छी सर्दी एक नया लेगी। हा कैसे? एक है भुगतान।,Trade generation,Sell,,,
They were removed yes.,हां हटा दिए गए।,Trade generation,Sell,,,
"Sir, we removed the bean day.","सर, हमने बीन डे हटा दिया।",Trade generation,Sell,,,
Remove 231250.,231250 निकालें।,Trade generation,Sell,,,
"I'll do it, but I'll remove it from Dad in 10 days and 15 days.","मैं कर दूँगा, लेकिन मैं इसे 10 दिन और 15 दिनों में पिताजी से हटा दूँगा।",Trade generation,Sell,,,
"The profit was coming, we removed the family.","मुनाफा आ रहा था, हमने परिवार को हटा दिया।",Trade generation,Sell,,,
"If it becomes 1600, I will remove it.","अगर यह 1600 हो जाता है, तो मैं इसे हटा दूंगा।",Trade generation,Sell,,,
"Remove the industry, I'll do some harm.","उद्योग हटाओ, मैं कुछ नुकसान करूंगा।",Trade generation,Sell,,,
"If you find your stomach in your stomach, remove it.",अगर आपको पेट में पेट मिले तो उसे हटा दें।,Trade generation,Sell,,,
"I'm clicking, ma'am.",मै क्लिक कर रहा हूँ मैडम।,Miscellaneous,,,,
Motilal Oswal repeatedly.,मोतीलाल ओसवाल बार-बार।,Miscellaneous,,,,
"Lion good, ok what time?","अच्छा शेयर करें, ठीक है कितने बजे?",Miscellaneous,,,,
It is not.,यह नहीं।,Miscellaneous,,,,
You can download it if it's free now.,आप इसे डाउनलोड कर सकते हैं यदि यह अभी मुफ़्त है।,Miscellaneous,,,,
What will happen in this? You have to put money in it in the app and we will buy shares from it.,इसमें क्या होगा? आपको इसमें पैसे ऐप में डालने होंगे और हम इससे शेयर खरीदेंगे।,Miscellaneous,,,,
"It may not happen before that, sir.",इससे पहले ऐसा नहीं हो सकता सर।,Miscellaneous,,,,
When will you be able to do it?,आप इसे कब कर पाएंगे?,Miscellaneous,,,,
It will happen.,यह होगा।,Miscellaneous,,,,
"I'll talk to the boy now and tell you in half an hour, if you take it this evening, today.","मैं अभी लड़के से बात करूँगा और आधे घंटे में बता दूँगा, अगर तुम आज शाम को ले लो तो।",Miscellaneous,,,,
"And if so, say to him today so that he can go to the place today so that I can do it tomorrow.","और यदि ऐसा है, तो आज उस से कहो कि वह आज उस स्थान पर जा सके, कि मैं कल कर सकूँ।",Miscellaneous,,,,
The one above.,ऊपर वाला।,Miscellaneous,,,,
It is almost the only means of youth.,यह लगभग युवाओं का एकमात्र साधन है।,Miscellaneous,,,,
Does it come out in sir's account?,सर के खाते में आता है?,Miscellaneous,,,,
"Tomorrow, it is an amount of 10,005.","कल, यह 10,005 की राशि है।",Miscellaneous,,,,
"Now the ₹2939 sir?1 is 85,57","अब ₹2939 सर?1 85,57 है",Miscellaneous,,,,
Tata Motors we can do bhai,टाटा मोटर्स हम कर सकते हैं भाई,Miscellaneous,,,,
"The market also goes down sometimes it goes up, sir.",बाजार भी नीचे जाता है कभी-कभी ऊपर जाता है सर।,Miscellaneous,,,,
Tata is also in the cash that is opening up chemicals.,टाटा उस नकदी में भी है जो रसायन खोल रही है।,Miscellaneous,,,,
Both places in the future.,भविष्य में दोनों जगह।,Miscellaneous,,,,
That will be something.,वह कुछ होगा।,Miscellaneous,,,,
"For 1 minute, it will be a mamka, it will show something.","1 मिनट के लिए ममका होगा, कुछ दिखाएगा।",Miscellaneous,,,,
"This is not to show it. Delivery doesn't show intraday, well you'll see stocks like it.","यह दिखाने के लिए नहीं है। डिलीवरी इंट्राडे नहीं दिखाती है, आप इस तरह के स्टॉक देखेंगे।",Miscellaneous,,,,
"Options will appear. Normally Plus machine plus and delivery will see such an option. Right now I was telling you the basic option that there are two basic options only when you start. One lives on the Internet, the other lives from Delivery.",ओप्तिओंस दिखाई देंगे। आम तौर पर प्लस मशीन प्लस और डिलीवरी में ऐसा विकल्प दिखाई देगा। अभी मैं आपको मूल विकल्प बता रहा था कि जब आप शुरू करते हैं तभी दो बुनियादी विकल्प होते हैं। एक इंटरनेट पर रहती है तो दूसरी डिलिवरी से।,Miscellaneous,,,,
It happens a little bit.,यह थोड़े ही होता है।,Miscellaneous,,,,
"So your twenty-five ₹1000 means those running by 50,000? You can also buy gold clothes and make them feel that they have reached the twenty-five and will automatically fail.","तो आपके पच्चीस ₹1000 का मतलब 50,000 से चलने वाले हैं? आप सोने के कपड़े भी खरीद सकते हैं और उन्हें महसूस करा सकते हैं कि वे पच्चीस तक पहुंच गए हैं और अपने आप असफल हो जाएंगे।",Miscellaneous,,,,
"Brother, you do it.",भाई आप कर लो।,Miscellaneous,,,,
So what is it worth trading?,तो यह व्यापार करने लायक क्या है?,Miscellaneous,,,,
The roads are wide.,सड़कें चौड़ी हैं।,Miscellaneous,,,,
"So, there are knowledgeable people, these people should know because they are closed nowadays, the bank is closed.","तो, जानकार लोग हैं, इन लोगों को पता होना चाहिए क्योंकि ये आजकल बंद हैं, बैंक बंद है।",Miscellaneous,,,,
"Tell me, you will come on the 7th and 8th.","बताओ, तुम 7 और 8 तारीख को आओगे।",Miscellaneous,,,,
Happy Holi sir,हैप्पी होली सर,Greeting and Etiquette,Festival Greeting,,,
Good Afternoon Maam.,गुड आफ्टरनून मैडम। ,Greeting and Etiquette,"Time of the day greeting
",,,
good Evening sir,गुड इवनिंग सर ,Greeting and Etiquette,"Time of the day greeting
",,,
Merry Christman sir,मेरी क्रिस्टमैन सर,Greeting and Etiquette,Festival Greeting,,,
"It was nice talking to you sir, Thank you!","आपसे बात करके अच्छा लगा सर, धन्यवाद!",Greeting and Etiquette,Closing the call greeting,,,
"How does it happen now? Where you have been trained, we buy a little bit of shares that we buy from companies, they have a little share price. If it increases, you can also sell out your city and it has insider training. In these writings, if you don't buy shares, you have to sell out before 3.5, you have to check between nine and 3.5 whether the price of your share is increasing or not. Like you may feel a little too much, sir, if the price of your share is increasing","यह अब कैसे होता है? जहां आपको ट्रेनिंग दी गई है, वहां हम थोड़े से शेयर खरीदते हैं जो हम कंपनियों से खरीदते हैं, उनके पास शेयर की कीमत थोड़ी होती है। यदि यह बढ़ता है, तो आप अपने शहर को भी बेच सकते हैं और इसमें अंदरूनी प्रशिक्षण है। इन लेखों में, यदि आप शेयर नहीं खरीदते हैं, तो आपको 3.5 से पहले बेचना होगा, आपको नौ और 3.5 के बीच जांच करनी होगी कि आपके शेयर की कीमत बढ़ रही है या नहीं। जैसे आपको कुछ ज्यादा लग रहा होगा सर, अगर आपके शेयर की कीमत बढ़ रही है",Portfolio Discussion,,,,
"Yes, that's how they can do delhi to you, and the other is delivery training. You can sell a share at any time where you bought it today. Just you have to see this there you have to buy your stock at the lowest price. If the price increases for a week or a few months, you have to send it at that time, sir.","हां, इस तरह वे आपके साथ दिल्ली कर सकते हैं, और दूसरा डिलीवरी प्रशिक्षण है। आप किसी भी समय शेयर बेच सकते हैं जहां आपने इसे आज खरीदा है। बस आपको ये देखना है वहां आपको अपना स्टॉक सबसे कम कीमत पर खरीदना है। अगर एक हफ्ते या कुछ महीनों के लिए कीमत बढ़ जाती है, तो आपको इसे उसी समय भेजना होगा, महोदय।",Process,,,,
"You have to buy. You have to put more money into it, you have to see the money.","आपको खरीदना पड़ेगा। आपको इसमें और पैसा लगाना है, आपको पैसा देखना है।",Process,,,,
"So you don't even have to buy a share in this period, sir, at least at a price and if the price goes up in the market, you have to send it at that time.","तो आपको इस अवधि में एक शेयर भी नहीं खरीदना है, सर, कम से कम एक कीमत पर और अगर बाजार में कीमत बढ़ जाती है, तो आपको इसे उसी समय भेजना होगा।",Process,,,,
"Right, sir, let's buy here.","ठीक है, महोदय, चलो यहाँ खरीदते हैं।",Trade generation,Buy,,,
What will happen in this? You have to put money in it in the app and we will buy shares from it.,इसमें क्या होगा? आपको इसमें पैसे ऐप में डालने होंगे और हम इससे शेयर खरीदेंगे।,Process,,,,
"Will you buy serious shares? If you send it as you go up, we will benefit from it. Sir, you can take that benefit back to your bank. Returns?","क्या आप गंभीर शेयर खरीदेंगे? यदि आप इसे ऊपर जाते ही भेजते हैं, तो हमें इससे लाभ होगा। महोदय, आप उस लाभ को वापस अपने बैंक में ले जा सकते हैं। रिटर्न?",Process,,,,
"And an advisor If You have an up point from here for this, they will tell you which share you want to buy. What time pay and how long can you fail it?","और एक सलाहकार यदि आपके पास इसके लिए यहां से कोई बात है, तो वे आपको बताएंगे कि आप कौन सा शेयर खरीदना चाहते हैं। किस समय भुगतान करें और आप इसे कब तक विफल कर सकते हैं?",Process,,,,
Buy any such stock four times from the market.,ऐसे कोई भी शेयर बाजार से चार बार खरीदें।,Trade generation,Buy,,,
"It's done. Yes, buy it.","यह हो चुका है। हाँ, खरीदो।",Trade generation,Buy,,,
"Yes, what will happen to him, sir, can we buy lions from the app, can we, sir?","हाँ, उसका क्या होगा साहब, क्या हम ऐप से शेर खरीद सकते हैं, सर?",Trade generation,Buy,,,
"Well, sir, you will buy from here, we will buy, we know how to buy, just help a little for the oil, tell me, Talk to Pawanji, okay.","अच्छा साहब, आप यहाँ से खरीदेंगे, हम खरीदेंगे, हम ख़रीदना जानते हैं, तेल के लिए बस थोड़ी सी मदद कीजिए, बोलो, पवनजी से बात करो, ठीक है।",Process,,,,
"Sir, how is it? If you add, you can trade, sir, only then can you go and buy and sit down, sir for example, you are training on your own. What is training like? Which city of â‚¹500 was purchased? That's fine with the company.","सर, कैसा है? जोड़ो तो व्यापार कर सकते हो साहब, तभी जाकर खरीद सकते हो और बैठ जाओ, मसलन आप खुद ही प्रशिक्षण ले रहे हैं। प्रशिक्षण कैसा होता है? 500 का कौन सा शहर खरीदा गया था? यह कंपनी के साथ ठीक है।",Process,,,,
And buy a little.,और थोड़ा खरीदो।,Trade generation,Buy,,,
"You have to link, buy and sell the bike in the stock market.","आपको बाइक को शेयर बाजार में लिंक करना, खरीदना और बेचना है।",Process,,,,
"Will be done, which will recommend to you. Which shares to buy?","किया जाएगा, जो आपको सलाह देगा। कौन से शेयर खरीदें?",Process,,,,
And some are speaking to buy something else.,वहीं कुछ कुछ और खरीदने की बात कर रहे हैं।,Process,,,,
"So accordingly, how can i call you and transfer the fund to that market before today and at the same time provide whatever recommendation you have and buy it only if you want to buy stock only then.",तो उसी के अनुसार आज से पहले मैं आपको कैसे कॉल करके उस बाजार में फंड ट्रांसफर कर सकता हूं और साथ ही आपके पास जो भी सिफारिश है उसे प्रदान करें और इसे तभी खरीदें जब आप स्टॉक खरीदना चाहते हैं।,Process,,,,
"So how about here? There is no time limit that if you buy today, you can send it to you today at any time. You can sell the city whenever you think the city's good price is rising. To the share.","तो यहाँ कैसे? कोई समय सीमा नहीं है कि अगर आप आज खरीदते हैं, तो आप इसे आज किसी भी समय भेज सकते हैं। जब भी आपको लगे कि शहर की अच्छी कीमत बढ़ रही है तो आप शहर को बेच सकते हैं। हिस्से को।",Process,,,,
"Scholars want to bank bulbs cspn in options basically over telling you like want to buy like put and call option. Sir, you don't want to select the option.","विद्वान सीएसपीएन को विकल्पों में बैंक करना चाहते हैं, मूल रूप से आपको यह बताने के लिए कि आप पुट और कॉल विकल्प खरीदना चाहते हैं। महोदय, आप विकल्प का चयन नहीं करना चाहते हैं।",Process,,,,
And you have to buy?,और आपको खरीदना है?,Trade generation,Buy,,,
"Then understand, if you put in a profit, you can buy a share of 1,00,000, you can buy 50,000 shares of 50,000 added.","तो समझ लीजिए, अगर आप लाभ में डालते हैं, तो आप 1,00,000 का शेयर खरीद सकते हैं, आप 50,000 जोड़े गए 50,000 शेयर खरीद सकते हैं।",Process,,,,
You can buy and do it every day.,आप इसे हर दिन खरीद और कर सकते हैं।,Process,,,,
Buy it and send it again tomorrow.,इसे खरीदें और कल फिर से भेजें।,Trade generation,Buy,,,
"If you look at it, nifty will be a little enjoyable because Reliance is running a little bit of a dila right now. Sir, good buying opportunity came, leave 2500 well in Reliance too, sir is almost â‚¹300 down from your all-time high sir right now yes so good stock stock money will also look all stocks mean mostly sector wise. If you look, it's down. There is only a steel sector which is up am which is a United Spirits almost 1000 pay sir.","इस पर नजर डालें तो निफ्टी में थोड़ा मजा आएगा क्योंकि रिलायंस अभी थोड़ा डिला का चल रहा है। सर, खरीदारी का अच्छा मौका आया, रिलायंस में भी 2500 अच्छी तरह से छोड़ दें, सर अभी आपके सर्वकालिक उच्च से लगभग ‚¹300 नीचे है, हाँ इसलिए अच्छा स्टॉक स्टॉक पैसा भी सभी शेयरों का मतलब ज्यादातर सेक्टर के अनुसार दिखेगा। आप देखें तो नीचे है। केवल एक स्टील सेक्टर है जो ऊपर है जो यूनाइटेड स्पिरिट्स है लगभग 1000 पे सर।",Market Update,,,,
"If you buy it, there will be some benefit.",अगर आप इसे खरीदते हैं तो कुछ फायदा होगा।,Trade generation,Buy,,,
Buy for this reason.,इस कारण खरीदें।,Trade generation,Buy,,,
Buy this cover.,इस कवर को खरीदें।,Trade generation,Buy,,,
So we can't buy any shares without money in it.,इसलिए हम इसमें बिना पैसे के कोई भी शेयर नहीं खरीद सकते हैं।,Process,,,,
"It's after buying. Let us keep it with us for a month, then we should sit down. I am also in that too.","खरीदने के बाद है। हम इसे एक महीने तक अपने पास रखें, फिर हमें बैठना चाहिए। मैं भी उसमें हूँ।",Trade generation,Buy,,,
"Even if he is going down the next day and gone down, you can sell out even if he has 519 nines the next day. For example right, what is it for you have not purchased shares for delivery training, I will provide you a call for long term you will also be told lions which good how to buy you?","भले ही वह अगले दिन नीचे जा रहा हो और नीचे चला गया हो, आप बेच सकते हैं, भले ही उसके पास अगले दिन 519 नाइन हों। उदाहरण के लिए, यह क्या है कि आपने डिलीवरी प्रशिक्षण के लिए शेयर नहीं खरीदे हैं, मैं आपको लंबी अवधि के लिए कॉल प्रदान करूंगा, आपको शेरों को भी बताया जाएगा कि आपको कौन सा अच्छा खरीदना है?",Process,,,,
We have a target of 1000 to buy in ICICI Bank.,हमने आईसीआईसीआई बैंक में खरीदारी के लिए 1000 का लक्ष्य रखा है।,Trade generation,Buy,,,
"They keep a watch from the square. Today, if you see a little down side on the website, we can buy it.",वे चौक से नजर रखते हैं। आज अगर आपको वेबसाइट पर थोड़ा सा भी डाउन साइड दिखे तो हम उसे खरीद सकते हैं।,Trade generation,Buy,,,
"Hold the share buyback of lemon tree, whose market is open reality.","लेमन ट्री का शेयर बायबैक पकड़ो, जिसका बाजार खुला सच है।",Portfolio Discussion,,,,
"Yes, how does actually live, sir? So just as you said you have to buy and sell shares right, you don't have to open log in to your account for that. By logging in, you will then have to transfer funds through UPI or net banking.","हाँ, असल में कैसे रहते हैं सर? तो जैसे आपने कहा था कि आपको शेयर खरीदना और बेचना है, इसके लिए आपको अपने खाते में लॉग इन खोलने की ज़रूरत नहीं है। लॉग इन करके फिर आपको UPI या नेट बैंकिंग के जरिए फंड ट्रांसफर करना होगा।",Process,,,,
"Yes, if you want to buy a lion, then with an app, we'll tell you where you can buy a lion and a woman. If you have to do the same training yourself, you will tell you those calls from here. Our market research team is there to have fundamental technical analysis. The call that comes will provide you. Sir.","जी हां, अगर आप शेर खरीदना चाहते हैं तो एक ऐप के जरिए हम आपको बताएंगे कि आप कहां से शेर और एक महिला खरीद सकते हैं। अगर आपको वही ट्रेनिंग खुद करनी है तो आप यहां से वो कॉल्स आपको बताएंगे। हमारी बाजार अनुसंधान टीम मौलिक तकनीकी विश्लेषण करने के लिए है। जो कॉल आएगा वह आपको उपलब्ध कराएगा। महोदय।",Process,,,,
"After buying another city, they sell it.","दूसरा शेयर खरीदने के बाद, वे इसे बेचते हैं।",Process,,,,
"You will not be able to send it today, you will be able to sell tomorrow and you will be able to buy tomorrow.","तुम आज नहीं भेज पाओगे, कल बेच पाओगे और कल खरीद पाओगे।",Process,,,,
"Look at the money Today, if we put fifty-one 6050, it becomes buying. It would have had a profit â‚¹30 up side.","पैसे को देखो आज, अगर हम इक्यावन 6050 डालते हैं, तो यह खरीद हो जाता है। इसका लाभ ‚¹30 ऊपर की ओर होता।",Trade generation,Buy,,,
"If it remains on the down side, today it will be 3% side pay, when it goes down, it is running in the range of a little 243, nor will you see it at a down side rate of 220, nor can we buy in that range except that.","अगर यह नीचे की तरफ रहता है तो आज 3% साइड पे होगा, नीचे जाने पर यह थोड़ा 243 के दायरे में चल रहा है, न ही आप इसे 220 के डाउन साइड रेट पर देखेंगे, और न ही हम खरीद सकते हैं उस सीमा में उसके अलावा।",Market Update,,,,
"Right yes, he cancels the order. Adani Enterprise has had a very good volume. At Sodani Enterprise, we will buy in bean quantity all because Tata Steel has come down to a lot of 42. Our target that we had set has come to sir so now we will participate in the participating Adani Enterprise sir 1735 is going on.","ठीक है हाँ, वह आदेश रद्द कर देता है। अदानी एंटरप्राइज का वॉल्यूम काफी अच्छा रहा है। सोडानी एंटरप्राइज में, हम सभी बीन मात्रा में खरीदेंगे क्योंकि टाटा स्टील 42 के बहुत नीचे आ गया है। हमने जो लक्ष्य निर्धारित किया था वह सर पर आ गया है, इसलिए अब हम भाग लेने वाले अदानी एंटरप्राइज में भाग लेंगे सर 1735 चल रहा है।",Market Update,,,,
"And handle your portfolio with by buying selling one month expected bike into four three, maximum sir for trade and subscription plan means sir, you have chargeable me 2% charge you.","और एक महीने की अपेक्षित बाइक को चार तीन में बेचकर अपने पोर्टफोलियो को संभालें, व्यापार और सदस्यता योजना के लिए अधिकतम सर, आपने मुझसे 2% शुल्क लिया है।",Process,,,,
"I am saying, ""If a woman does not get a woman to have siddhu also average or not going down 100 points of private lying, then we have an average of 100 years of paint time like a soldier buy China.","मैं कह रहा हूं, ""अगर एक महिला को सिद्धू के लिए एक महिला नहीं मिलती है या निजी झूठ बोलने के 100 अंक नीचे नहीं जा रही है, तो हमारे पास औसतन 100 साल का पेंट टाइम है जैसे एक सैनिक चीन को खरीदता है।",Portfolio Discussion,,,,
"Yes, when you place the order, you have a buy and sale option. You click bye-pe, don't you? So he asks you, ""Is it okay to entertain or deliver?""","हां, जब आप ऑर्डर देते हैं, तो आपके पास खरीद और बिक्री का विकल्प होता है। आप बाय-पे क्लिक करते हैं, है ना? तो वह आपसे पूछता है, ""क्या मनोरंजन करना या वितरित करना ठीक है?""",Process,,,,